Category,Number,Term ,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
Biological Process,GO:0006954,inflammatory response,69,4.621567314,3.80E-12,"CXCL6, ORM1, CIITA, CXCL8, TNFAIP6, TNFAIP3, CXCL1, TCIRG1, IL1RAP, CXCL3, LIPA, TNF, CXCL2, RPS6KA4, ZC3H12A, CASP4, ADORA1, IKBKG, ITGB6, HAVCR2, SCYL1, GBP5, ANXA1, CHUK, IL15, IL18, TACR1, TICAM1, TNFRSF1B, TLR1, IL1A, PRKCQ, ADAM8, TLR6, TLR5, TLR3, CD44, MGLL, IDO1, EPHA2, LXN, PTGER2, PTAFR, PTGS2, HDAC9, THBS1, RELA, FUT4, C3, HRH1, C5, IRAK2, AGR2, CCL2, S1PR3, TSPAN2, NDP, APOL3, GSDMD, CCL24, IL10RB, CCL20, BMP6, VNN1, CAMK4, TNIP3, PTX3, HPSE, IL17C",1193,430,18585,2.499785571,1.79E-08,1.79E-08,1.79E-08
Cellular Component,GO:0005887,integral component of plasma membrane,147,9.845947756,2.17E-09,"SLC27A1, CD83, PLXND1, CD82, AQP9, AQP4, FZD10, IL1RAP, CLDN1, TNF, AQP1, MILR1, GJA1, EDNRB, CDH2, TNFSF10, ADORA1, KDR, SLC16A7, SLC16A9, ROS1, SLC39A4, KCNH1, IFNAR2, SLC34A2, KIRREL1, IL4R, SLC6A14, IRAG2, ATP11C, TM4SF1, MAG, NINJ2, KCNQ3, ADAM8, STEAP1, PI4K2A, EPHA2, SLC22A4, SLC26A2, CHRNA5, GYPC, SLC1A3, LPAR3, SLC1A4, ADRB1, SLC5A1, MST1R, CD1D, APCDD1, SLC5A3, PCDH18, EFNB1, HRH1, CALHM2, ADGRG5, KCNMB2, KCNMB3, PLXNA2, TSPAN2, PROM1, TRPM6, HLA-DQA1, STRA6, CAV2, FZD4, INSR, CAV1, GP6, NOTCH2NLC, IL22RA1, SELL, SSPN, FAT1, HLA-DRA, SLC26A4, HLA-DRB1, CD22, CD200, KCNK5, ALK, KCNK6, FLT1, PCDHGB5, TCIRG1, LRRC32, ADRA1B, EDA2R, UPK1B, EMB, CD34, HLA-DPA1, ABCC3, TRPC3, GPR35, IFNGR1, MMD, ROM1, TACR2, TMC7, TACR1, SORCS2, TLR1, ANO1, SLCO4A1, CDHR1, PECAM1, TNFRSF25, TLR6, SLC25A5, TLR5, SLC25A14, TLR3, CD44, SEMA3C, PTGER2, PTAFR, ADCY3, ATP10A, SGMS2, EGFR, P2RY6, P2RY4, P2RY2, P2RY1, LRRC8C, SLITRK6, HAS2, S1PR3, LRRC8B, GABRE, LRRC8E, KCNJ2, IL12RB2, SLC12A4, IL10RB, PCDHGC4, PCDH7, TPBG, MCOLN1, TSPAN15, ADGRL1, SLC28A2, RAMP1, SLC28A1, ADGRL2, SLC28A3",1242,1418,19595,1.63555358,1.58E-06,1.58E-06,1.56E-06
Molecular Function,GO:0005515,protein binding,907,60.75016745,2.80E-07,"CYBC1, PID1, SCT, AVIL, FZD10, ALKBH7, ACCS, CLDN1, ALKBH6, MYLK, ZC3H12C, NSDHL, RAVER1, PSMD5, LIPH, DPYSL2, ZC3H12A, DPYSL3, UBASH3A, SMCO4, GBP5, CCBE1, MEF2B, UNC5B, BHLHA15, EML3, DDX39A, MTHFD1, PSME2, ATF3, OPTN, SKAP2, SLBP, LXN, GATA6, SLC5A1, SLC5A3, LYPD6, HACD4, C3, C5, KCNMB2, SFN, GTF2IRD2B, MCTS1, TOE1, PMM1, APCDD1L, H1-5, IL22RA1, FAM111B, PPFIBP1, COL1A2, FAT1, HLA-DRB1, EZH2, WFIKKN1, KCNC4, ARHGAP1, LRRC32, LITAF, VSIR, HOXC10, ARHGAP4, DDA1, CHAF1B, CHAF1A, IKBKG, IKBKE, CGNL1, ELOVL1, RMI2, FGFBP1, RIPK3, GSTO1, MAMDC2, MYOF, ROM1, NIPA1, EMP2, GMIP, BAZ1B, DYNLL2, LRRC41, POU5F1, CDC20B, PIGC, F8, TUT1, VAMP4, CRYAB, RAPGEF3, TMEM106A, KANK2, ATL3, PKN3, SYNPO2, PTAFR, PTGS2, FSTL1, MRPL54, EGFR, CENPC, SRPX2, FRZB, UCP3, UCP2, AGR2, HAS2, MEF2D, CENPU, SLF2, ANKIB1, EGLN2, BIK, ATAD2, APEX2, TMEM60, LRRC20, NUDT22, PSMC3, CENPK, ADGRL1, CRB3, SLC27A1, DEFB1, CXCL14, EFEMP1, ADORA1, PIM1, SLC16A7, SLC16A9, PITX1, ROS1, MAP3K5, KCNH1, PIAS4, CPA1, S100A2, GPR78, FST, ZBTB38, ATP11C, NEAT1, TICAM1, TUBA4A, EMSY, FOXP1, MSH6, FRMD3, VMAC, FRMD8, MAK, S100A6, MAL, S100A5, GMNC, S100A3, IL6ST, FBXO45, LIN7A, TNFRSF11B, FBXO43, NPAS2, UQCRH, NPAT, SOCS1, MBP, ZNF425, SAC3D1, HPS1, FBXO32, CORO2A, LOC102724560, RGCC, TUBGCP5, HLA-DRA, ZNF414, HPSE, ZNF655, OGT, BCAR3, KCNK5, PIWIL1, CIITA, FLT1, SCHIP1, FHL2, PTEN, MSLN, FUNDC2, HHEX, PMEPA1, ACP3, ITGB6, VBP1, DHPS, VEZF1, RAD23A, TNFRSF1B, DBF4, HAND2, MYO3A, LCOR, TRIM59, SLC25A5, DTL, YJU2B, BIRC2, R3HCC1L, BIRC3, TRIM56, UHRF1, SHCBP1L, MLLT1, ATP10A, PPM1D, BARX2, NTN1, KCTD21, TIFA, LRRC8C, CCL2, SLC25A20, LRRC8B, LRRC8E, KCNJ2, CYB5B, SLC12A4, STYK1, DONSON, FOXJ1, CABLES1, MCOLN1, REC8, DHODH, TSPAN15, PC, MGP, MYO1F, VPS35L, JPT2, CCP110, NTAQ1, BAIAP2L1, RASSF5, TNFSF10, CCDC96, KDR, CCN2, CCN1, TP63, ST6GAL1, SFMBT2, ISLR2, TM4SF1, GAREM1, NINJ2, KCNQ3, KCTD14, ALPK1, CCDC81, SPATA18, EPHA2, SDC2, LPAR3, MST1R, CD1D, BRCC3, AARD, PCDH18, BRIP1, STK38L, ST8SIA5, TSPAN2, HIVEP3, KCNN4, TNFSF18, TNFSF14, ST8SIA1, XRCC3, IFI44, RAB27A, RAB27B, EXT1, POLA2, RGL1, CTRC, MRAP2, CD200, FBXL7, CD22, TP73, NRP2, SYNM, KIF11, PCSK5, EDA2R, CTSO, MAP1LC3A, CRTAC1, CNTRL, CD34, LMCD1, CTSC, MMD, IL15, AKR1A1, IL18, OSMR, ZHX1, PLAAT4, RAP2C, IL1A, RNF144B, ANO1, KIF2A, PITPNM3, DMC1, KXD1, PTMA, CD44, ARHGEF5, SLC43A3, DERL3, DYNLT2B, NEDD9, GNAI1, RELA, SERTAD4, KIF25-AS1, PLEKHG4B, GPC4, PAK3, PAK2, RIBC2, MAP3K3, CD74, CRYBB2, MYO9B, HYPK, VMP1, SH3RF2, KITLG, PER3, ZDHHC9, KLHL6, NEDD4, RAMP1, SPC24, FOXA1, CD83, AMHR2, CD82, PRDM6, C4ORF19, LOXL4, TBC1D3F, UBE3A, PRDM1, PLAU, KHSRP, CAPN2, BORCS8, KIRREL1, IL4R, DNAJB13, KLHL42, TERB1, SLFN11, CCNE2, CARD16, UBA6, SLC1A3, ATP5MC3, PLD1, INAVA, RPF1, FUT3, TMEM243, IRAK1, IRAK2, MUC16, CAV2, VDR, KLHL26, CAV1, ECD, MSN, UBE2A, BMP6, NASP, PYROXD2, MELTF, FGF12, PHF19, TNFAIP8, RHOXF1, TNFAIP6, MAST3, PLEK, TNFAIP3, CA2, H2BC21, LRRFIP1, GET3, CFAP45, MMP7, DYNLT4, HUNK, TBC1D8, ARHGEF18, C4ORF46, ETV1, PEX1, GCNA, CCNA1, SETBP1, ELF4, ADGRF4, IRF1, ELF5, ADGRF5, MMRN2, IRF7, CFAP58, NT5C2, PSMB10, POLD3, PDLIM1, PDLIM3, TNKS2, GNG5, SPOCK2, SLIT2, CRYM, LAMB3, NCBP2AS2, TBX18, TEF, TNIP3, LNX1, PTX3, VIM, SNTB2, TRIR, TES, SERPINE2, TMEM200A, SMC5, ABCA12, ELK3, MILR1, RNF112, GJA1, WDR90, WDR91, PIP4K2A, HOMER3, JUNB, IER3, GAMT, DAPK1, PASK, SYTL4, WDR76, SYTL2, PRR16, PRKCQ, UBA52, PI4K2A, CFB, ASF1B, CFH, CDKN2B-AS1, NEDD4L, WDR62, SKA2, SLC19A3, NRBF2, PROM1, HOXC9, HOXC8, S100A11, HLA-DQA1, NR2C2AP, FZD1, GSDMD, PLK3, F8A1, STARD13, F8A2, JUND, F8A3, FZD4, FZD7, PLK2, THAP12, NFATC1, GP6, ELL3, EHD2, CYLD, HNRNPF, GIPC2, SERPINI2, LDAF1, FARSA, CDK14, FANK1, BRME1, BTG2, SERPINA1, ELL, YJEFN3, SPIN4, FARS2, GLI2, WDR44, C1QTNF4, C1QTNF2, CSRP1, ZNF280C, GAST, RSPO1, CEP55, HAVCR2, TCF19, HELLS, BATF3, GRAMD2B, SERPINB1, ANXA1, IFNGR1, TACR2, PAX6, TACR1, RNF168, RNF169, MRAS, PAX8, SLCO4A1, GAS1, CACTIN, JDP2, MGLL, GAS7, NFIX, AOAH, SGMS2, HSPA14, PAPSS2, ALOX5, CHN2, USP1, MBNL3, CDKN2D, CCL24, CDKN2B, SF3A2, CCL20, IL10RB, MOCOS, CARD6, G0S2, NR1H3, TYW1B, FMO4, GPR141, XAB2, STING1, NFIC, VMA21, AGBL2, PLXND1, FMR1, FAM107A, FGF2, SERTM1, TNF, CDH2, RNF19A, MB21D2, TLE4, IFNAR2, SNRPN, CYS1, THOC2, GTF2F1, LEMD1, ENKUR, C1ORF116, STIM2, ADAM8, TNIK, SREK1, PHLDB2, ANKRD36B, DGKI, ZNF791, DNMT1, FAM114A1, LSMEM1, MRI1, RHEX, GOLGA7B, STRA8, ORC1, NACC1, PLXNA2, CCDC33, NDP, SLC15A3, SRGAP2, MAP2K7, RAB6A, AP1M2, SEC16B, RAB4B, GPR108, FANCL, CCDC14, OSBPL3, TRAPPC5, FANCA, CYBRD1, ASNS, NSG1, ADAP1, LSM4, LSM8, LRFN4, LHX2, P4HA3, ALB, MAFF, RNF182, MAFK, MAP3K13, SLC26A4, ALK, MCM7, KIAA1671, TCIRG1, ADRA1B, LBH, EVI5L, CCDC50, HGFAC, RFC4, TRPC3, CHUK, PLEKHG7, RFC2, GPX8, HAUS1, C1QL1, C15ORF48, RP1, ACTBL2, CATSPERD, NOS1AP, PECAM1, MCM4, DNAJC9, MCM6, SFT2D2, LCORL, SMPDL3A, MCM2, CEBPD, CCDC68, UNC93B1, NOD2, HDAC9, DCAF15, AP3M1, P2RY6, P2RY4, HAUS8, HAUS7, P2RY2, P2RY1, RBBP8, TNNI2, FNIP2, AHNAK2, PTPN12, KLF4, KLF2, TTLL10, GORAB, AQP9, IFIT5, CBLC, AQP4, IFIT1, NADSYN1, IFIT3, AQP1, IFIT2, RPS6KA4, EDNRB, RUSC1, SOX9, TNS3, TIPIN, ACSL5, C10ORF55, KRT7, YOD1, CPT1B, ZNF837, AKAP9, COL8A1, SIK1, GSAP, SIK2, ZFPM2, BLZF1, SLC22A4, MACF1, TSHZ3, GYPC, STXBP2, KLK5, CD99L2, APCDD1, HTATSF1, GPR15LG, NUAK2, FADD, TRPM6, RPL39L, CDT1, GADD45A, INSR, MEIG1, KNOP1, LIF, NMI, GNG12, PARP14, GNG11, NOTCH2NLC, LRP2BP, VNN2, NMU, CC2D1A, FEN1, ORM1, C2CD3, ADIRF, KRT23, LIMD2, CLDN22, SERP2, ESM1, SH3PXD2A, ERMAP, EDN1, HEG1, TYK2, ZDHHC11, TLR1, CEACAM6, FAM20B, B3GNT2, VWA2, RHOU, TLR6, CLDN16, SGK1, RAB7B, TLR5, MPND, TLR3, AMIGO2, ZDHHC23, VWCE, PTN, TYMP, NT5E, UBTD1, SUSD6, SPTSSB, CBR3, UBL4A, MPP1, GINS2, SVIL, C17ORF67, RANBP3, AP3D1, SORBS2, GRHL3, SORBS1, KRT10, PDZK1IP1, RAB11B, PDP1, KRT14, TRIP10, FAS, ITPRIP, NDUFA11, PRAG1, POGK, AMOT, FBL, RBMX2, CSKMT, GUCY1A2, CFAP418, LMO3, NANOS3, ARID5B, KAZN, IPCEF1, MAU2, MYCN, COL4A2, LOX, COL4A1, MYADM, ELMO1, RELL1, ELMO3, ISYNA1, AKNA, SUCNR1, CHRNA5, USP54, BTF3L4, ADRB1, LTBP2, LPP, MYCNOS, TMEM123, EFNB1, NPC1L1, ALDH3B1, PMAIP1, CLSPN, MYH10, FAM83B, STIL, SMAD3, SMURF1, TBCB, DNAJC15, SMAD6, POU2F3, ESR2, NR4A2, ARHGAP31, DLG1, EFNA2, SELL, CXCL6, CXCL8, HSPB1, CXCL1, CXCL2, HAPLN2, IQCJ-SCHIP1, TMEM101, RBM4, UPK1B, SENP5, NAPRT, CASP4, CASP1, TMEM109, PROSER2, KLF11, DNM3, IQCN, OAS3, ITGB1BP2, C2ORF50, ITGB3BP, PRTFDC1, RGS17, STOML1, PDXP, LCAT, KRT86, THBS1, UACA, NCALD, GNA13, PRRG4, S1PR3, GBP2, GBP4, MUTYH, GBP3, WTAP, DAW1, ANXA2R, KISS1, SH3YL1, PPP2R2B, SPRY3, CMTM2, SSBP4",1207,12497,18178,1.093050799,3.71E-04,3.71E-04,3.70E-04
Biological Process,GO:0071222,cellular response to lipopolysaccharide,32,2.143335566,2.80E-06,"CXCL6, CXCL8, TNFAIP3, CXCL1, NOD2, CXCL3, TNF, CXCL2, LITAF, RELA, SBNO2, EDNRB, IRAK1, IRAK2, ZC3H12A, CASP1, CAPN2, CCL2, GBP2, MAP2K7, HAVCR2, GBP3, GBP5, NR1H3, TNFRSF1B, TICAM1, IL1A, TNIP3, VIM, CARD16, CACTIN, TLR5",1193,196,18585,2.543407975,0.013111894,0.006597899,0.006572733
Biological Process,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,32,2.143335566,5.31E-06,"IFIT5, NOD2, TNF, LITAF, RELA, INAVA, EDA2R, TMEM101, GJA1, IRAK1, TIFA, CASP1, TNFSF10, FADD, IKBKG, IKBKE, APOL3, CD74, MAP3K3, CHUK, PLK2, TICAM1, IL1A, CARD16, TLR6, ALPK1, BIRC2, CC2D1A, HLA-DRB1, TLR3, TMEM106A, BIRC3",1193,202,18585,2.467861204,0.024738141,0.008225984,0.008194607
Cellular Component,GO:0045121,membrane raft,36,2.411252512,5.89E-06,"LY6K, STOML1, CBLC, LYPD6, TNF, EGFR, EFNB1, GJA1, EDNRB, KDR, CAPN2, FADD, GPM6B, CAV2, UNC5B, CAV1, RFTN1, EMP2, SORBS1, GP6, TNFRSF1B, TLR1, ANO1, MAG, DLG1, MYADM, PECAM1, MAL, FAS, TLR6, HPSE, SLC25A5, IL6ST, PI4K2A, BIRC2, BIRC3",1242,246,19595,2.308825262,0.00428425,0.00214672,0.002120218
Biological Process,GO:0006260,DNA replication,23,1.540522438,6.97E-06,"GINS2, FEN1, RMI2, RFC4, NFIX, MCM7, RFC2, DONSON, POLD3, FAM111B, STRA8, POLA2, CHAF1B, DBF4, CHAF1A, NASP, ORC1, NFIC, MCM4, GMNC, MCM6, DTL, MCM2",1193,120,18585,2.985854987,0.032375349,0.008225984,0.008194607
Cellular Component,GO:0009986,cell surface,70,4.688546551,1.81E-05,"CIITA, CLSTN2, FZD10, LRRC32, MSLN, TNF, AMOT, CDH2, PLAU, ITGB6, ROS1, HAVCR2, HLA-DPA1, FGFBP1, ANXA1, IL15, ISLR2, EMP2, TACR1, IL1A, CEACAM6, PXDN, ADGRF5, KCNQ3, ADAM8, VAMP4, CRYAB, CD44, EPHA2, SDC2, SLC1A3, SLC1A4, CD99L2, MST1R, CD1D, NOD2, THBS1, EGFR, FUT4, C3, EFNB1, NT5E, SRPX2, IRAK1, P2RY1, SLITRK6, MBP, SLIT2, GPC4, NDP, PROM1, MICB, FZD1, TNFSF18, CD74, FZD4, TPBG, MSN, KRT10, GP6, NOTCH2NLC, TSPAN15, LRFN4, HLA-DRA, FAS, MELTF, RAMP1, CD22, HLA-DRB1, CD200",1242,651,19595,1.696448669,0.013120798,0.004402505,0.004348154
Biological Process,GO:0071346,cellular response to interferon-gamma,19,1.272605492,3.93E-05,"CCL24, GBP5, CIITA, EDN1, DAPK1, CCL20, AQP4, CLDN1, TNF, CASP1, CCL2, VIM, CARD16, GBP2, RAB7B, GBP4, TLR3, HLA-DPA1, GBP3",1193,97,18585,3.051434053,0.169483572,0.037132914,0.036991276
Cellular Component,GO:0005886,plasma membrane,396,26.52377763,4.18E-05,"PI4K2B, TES, MRGPRF, FZD10, ABCA12, CLDN1, MYLK, MILR1, PREX2, ENDOU, GJA1, LIPH, DPYSL2, PIP4K2A, HOMER3, UNC5B, DAPK1, CACNA2D1, SYTL4, SYTL2, PRKCQ, UBA52, PI4K2A, CFB, SKAP2, MTMR1, NEDD4L, SLC5A1, SLC5A3, LYPD6, C3, KCNMB2, KCNMB3, SLC19A3, PROM1, RHBDL2, HLA-DQA1, FZD1, MCTS1, GSDMD, GSDMC, GSDMB, FZD4, FZD7, APCDD1L, GP6, IL22RA1, EHD2, CYLD, PPFIBP1, HNRNPF, FAT1, SSPN, CDK14, HLA-DRB1, XKR5, KCNC4, LRRC32, LITAF, VSIR, PANX2, EMB, RRP12, CEP55, HLA-DPA1, FGFBP1, ANXA1, SERPINB2, IFNGR1, GPR35, MYOF, ROM1, TACR2, NIPA1, TMC7, EMP2, TACR1, GMIP, DYNLL2, F8, MRAS, SLCO4A1, GAS1, VAMP4, MGLL, RAPGEF3, TMEM106A, GAS7, PTAFR, ADCY3, SGMS2, HSPA14, EGFR, HAS2, IL12RB2, IL10RB, GPR141, STING1, ADGRL1, PLCD3, SLC28A2, SLC28A1, ADGRL2, CRB3, SLC28A3, SEMA5A, LY6K, SLC27A1, PLXND1, FMR1, IL1RAP, TNF, CDH2, ADORA1, PIM1, SLC16A7, SLC16A9, ROS1, SLC39A4, KCNH1, IFNAR2, GPR78, ATP11C, MAG, C1ORF116, STIM2, FRMD8, S100A6, SLC27A6, ADAM8, S100A3, IL6ST, PHLDB2, DGKI, DGKH, SLC26A2, ABHD3, LIN7A, TNFRSF11B, RHEX, GOLGA7B, ARL17A, PLXNA2, MBP, RAB6A, SRGAP2, STRA6, GRIA4, RAB4B, ATP8B3, OSBPL3, CYBRD1, ADAP1, LRFN4, ITGA11, HLA-DRA, SLC26A4, OGT, CNTNAP3, ALK, KCNK5, KCNK6, FLT1, WDR1, SCHIP1, PTEN, TCIRG1, ADRA1B, MSLN, PMEPA1, ACP3, ITGB6, TRPC3, TNFRSF1B, ACTBL2, CATSPERD, PECAM1, TNFRSF25, DNAJC9, SLC25A5, SLC25A14, ATP10A, NOD2, P2RY6, P2RY4, HAUS7, P2RY2, P2RY1, SLITRK6, LRRC8C, LRRC8B, LRRC8E, KCNJ2, SLC12A4, PCDH7, STYK1, AHNAK2, KCNJ16, MCOLN1, SCART1, TSPAN15, SYT10, MYO1F, VPS35L, TTLL10, JPT2, AQP9, IFIT5, CBLC, AQP4, AQP1, BAIAP2L1, EDNRB, TNFSF10, KDR, CCN2, SLC34A2, TMEM88B, SLC6A14, ISLR2, ACSL5, ADGRA3, TM4SF1, GAREM1, NINJ2, KCNQ3, EPHA2, SLC22A4, MACF1, TSHZ3, GYPC, SDC2, STXBP2, LPAR3, CD99L2, MST1R, CD1D, APCDD1, PCDH18, TSPAN2, FADD, KCNN4, TRPM6, GPM6B, TNFSF18, IFITM10, TNFSF14, INSR, RAB27B, PARP14, GNG12, GNG11, NOTCH2NLC, VNN1, VNN2, LOC102723996, RGL1, MRAP2, CD200, CC2D1A, CD22, RTL8C, CLIC6, NRP2, EDA2R, LIMD2, CLDN22, IGLV7-46, CD34, ERMAP, MMD, TYK2, RHOF, OSMR, RAP2C, TLR1, IL1A, ANO1, CEACAM6, RHOU, TLR6, CLDN16, SGK1, TLR5, RAPSN, ARHGEF5, TLR3, CD44, PTGER2, AMIGO2, NEDD9, PTN, GNAI1, SH3BGRL, NT5E, PLEKHG4B, GPC4, PAK3, PAK2, MICB, MPP1, SVIL, CD74, RFTN1, SORBS2, SORBS1, VMP1, KITLG, NEDD4, TRIP10, FAS, RAMP1, CAPS, CD83, ITPRIP, STEAP4, AMHR2, CD82, TBC1D3F, AMOT, PLAU, CAPN2, RGS9, KIRREL1, IL4R, CFAP418, IRAG2, IPCEF1, MYADM, ELMO1, RELL1, CARD16, STEAP1, STEAP2, SUCNR1, CHRNA5, SLC1A3, ADRB1, SLC1A4, PLD1, LPP, CACNA1G, EFNB1, HRH1, PDZD2, IRAK1, NPC1L1, IRAK2, ADGRG5, ALDH3B1, CDH24, SMAD3, MUC16, SMURF1, CAV2, CAV1, MSN, POU2F3, DLG1, EFNA2, SELL, TMEM116, OR2A7, MELTF, MUC20, OR2A4, PCDHGB5, PLEK, HSPB1, IQCJ-SCHIP1, CA2, CASP4, CASP1, LRRFIP1, ABCC3, ARHGEF18, ABCC9, DNM3, ADGRF1, CDHR1, OAS3, ADGRF5, RGS17, STOML1, PON2, PDXP, PRRG4, GNA13, GNG5, MARVELD1, S1PR3, GBP4, PCDHGC4, TPBG, VIM, SNTB2",1242,5274,19595,1.184619105,0.030020203,0.00761985,0.007525777
