Category,Number,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,
Biological Process,7156,homophilic cell adhesion via plasma membrane adhesion molecules,40,2.108592514,6.89E-10,"CLSTN3, PCDHGB3, AMIGO1, PCDHGB2, PCDH15, CDH8, TRO, CDH3, BSG, ME1, PCDHA4, PCDHA3, PCDHA6, PCDHGA7, PCDHGA6, PCDHGA5, PCDHGA4, PCDHGA3, PCDHGA2, PCDH8, PCDHB14, PCDHB13, PCDHB12, PCDHB11, PCDHA11, IGFN1, PCDHB2, PCDHB16, PCDHB6, PCDHGB1, DSG1, PCDHB5, DCHS1, PCDHB4, PCDHB3, DSC1, SDK2, DSC2, CDH18, NECTIN2",1416,174,18585,3.017241379,3.15E-06,3.15E-06,3.15E-06,
Molecular Function,978,RNA polymerase II core promoter proximal region sequence-specific DNA binding,145,7.643647865,2.70E-07,"ZNF331, ZNF175, PRDM4, RORC, SOX21, DACH1, ZSCAN31, SALL2, ZNF727, ZNF606, ZNF605, ZNF84, ZNF723, FOXO3B, ZNF445, SOX7, HES7, ZNF165, NKX2-8, ZNF285, ZNF681, ZNF284, ZNF98, EBF4, MYT1, FOXP3, POU3F3, POU3F4, ZNF717, ZNF835, ZNF679, ZSCAN23, ZSCAN26, ZNF711, ZNF677, ZNF311, ZNF157, ZNF432, ZNF155, ZNF274, FOXO3, HOXB13, ZNF26, PGBD1, ZNF549, ZKSCAN8, ZNF548, ZSCAN12, NDN, ZNF667, ZKSCAN4, SMYD3, NKX2-5, ZNF268, ZSCAN16, ZNF540, ZNF660, EGR3, ZNF140, ESRRB, POU6F2, RAX2, MLXIPL, ZNF419, ZFP62, MKX, ZNF534, RBAK, ZNF773, SLC2A4RG, ZNF134, ZNF772, HIF3A, ZNF45, DBP, HEY1, ZNF280A, SIX5, ZNF528, SIX2, SIX3, ZIC1, ZNF525, ZIK1, NKX3-1, KDM6B, ZSCAN5A, HSFX1, FOXL2, OLIG1, KLF15, ZFX, PAX1, ZNF879, TOP1, ZNF114, FOXD4L1, ZNF112, ZNF750, ZNF232, ZNF594, ZNF230, ZNF350, ZNF471, ZNF470, SATB2, FOXK1, HDAC6, DDN, ZNF229, ZNF502, ZNF501, ZNF225, HDX, ZNF224, RXRG, ZNF223, ZNF222, ZNF221, ZNF583, ZNF581, ZNF184, ZNF580, ZNF182, ZIC4, MEIS3, POU4F1, VAX2, TBX3, ZNF765-ZNF761, KLF8, ZNF74, ZNF615, ZNF613, ZNF578, ZNF577, ZNF354A, ZNF852, ZNF850, ZNF354C, ZNF454, ZNF695, ZFP28, ZNF354B, GZF1",1449,1198,18178,1.518409449,4.01E-04,3.34E-04,3.33E-04,
Biological Process,15718,monocarboxylic acid transport,11,0.579862941,3.10E-07,"SLC16A1, SLC16A6, SLC6A13, SLC16A11, SLC5A12, SLC6A12, SLC6A11, SLC16A10, SLC16A4, SLC16A14, SLC16A13",1416,19,18585,7.598684211,0.001416456,7.09E-04,7.08E-04,
Molecular Function,5509,calcium ion binding,98,5.166051661,4.50E-07,"CLSTN3, DGKB, DGKA, CDH8, EFEMP2, CDH3, ENPP2, CHP2, CPNE1, SVEP1, EYS, PCID2, ACTN2, EPDR1, VWDE, PCDHA11, HPCAL4, PADI3, DSC1, MYL9, DSC2, PVALB, FBN2, CACNA1B, ITPR1, PCDH15, CABP1, RASGRP2, FBLN2, CRACR2A, PCDHA4, PCDHA3, PLCG1, PCDHA6, SYT5, SYT3, FER1L5, FER1L4, ALOX15B, PCDHB2, CPS1, PCDHB6, PCDHB5, CALM3, PCDHB4, DCHS1, PCDHB3, TENM2, PCDHGB3, PCDHGB2, TCHH, MYL6B, PPP3CA, GRM7, ME1, ANXA9, PCDHGA7, PCDHGA6, PLA2G4F, PCDHGA5, ADGRV1, PCDHGA4, PCDHGA3, PCDHGA2, RCN3, PLCB4, PCDHGB1, DSG1, MICU3, LCP1, PLCB2, MATN3, CDH18, DLL1, FSTL4, DLL3, DUOX1, PRRG3, EGFLAM, PRRG2, SNCB, CGREF1, AOC1, PLA2G2C, F12, PCDH8, PCDHB14, PCDHB13, PCDHB12, PCDHB11, TUBB4A, CAPN14, NELL1, PCDHB16, NUCB1, CD248, MEGF8, ADGRL3",1449,734,18178,1.674972686,6.67E-04,3.34E-04,3.33E-04,
Biological Process,6357,regulation of transcription from RNA polymerase II promoter,182,9.594095941,7.02E-07,"RB1, ZNF331, ZNF175, PRDM4, ZNF292, RORC, ARID4A, CCNC, HR, SOX21, TPRXL, DACH1, ZSCAN31, SALL2, ZNF727, ZNF606, CREB3L1, ZNF605, ZNF84, ZNF723, FOXO3B, ZNF445, SOX7, HES7, ZNF165, NKX2-8, ZNF285, ZNF681, ZNF284, PRKCB, ZNF10, ZNF98, EBF4, MYT1, FOXP3, POU3F3, POU3F4, ZNF717, ZNF835, ZNF679, ZSCAN23, ZSCAN26, ZNF711, ZNF677, ZNF311, ZNF157, ZNF432, ZNF155, URI1, ZNF274, ZNF391, CREBL2, FOXO3, HOXB13, NPAS1, ZNF26, MED12L, NPAS3, PGBD1, ZNF549, ZKSCAN8, ZNF548, ZSCAN12, ZNF667, ZKSCAN4, NKX2-5, ZNF268, ZSCAN16, KAT14, ZNF541, ZNF540, ABCA2, ZNF660, EGR3, ZNF140, ESRRB, POU6F2, IRF2BP1, RAX2, MLXIPL, ZNF419, ZFP62, LHX1, LHX6, MKX, ZNF534, RBAK, MNAT1, ZNF773, SLC2A4RG, ZNF134, ZNF772, CSRNP3, HIF3A, ZNF45, DMBX1, DBP, HEY1, ZNF280A, PPP1R13L, SIX5, ZNF528, SIX2, SIX3, ZIC1, ZNF404, ZNF525, CIC, ZIK1, NKX3-1, ZSCAN5A, ZHX3, TCF15, PEG3, HSFX1, FOXL2, OLIG1, KLF15, ZFX, PAX1, TOX3, TOX2, ZNF879, ZNF114, FOXD4L1, ZNF112, ZNF232, ZNF594, ZNF230, ZNF350, ZNF471, ZNF470, SATB2, ZNF518B, FOXK1, ZNF69, HIRA, GBX1, ZNF229, ZNF502, ZNF501, ZNF589, ZNF225, HDX, ZNF224, RXRG, ZNF223, ZNF343, ZNF222, ZNF221, ZNF583, ZNF582, ZNF581, ZNF184, ZNF580, ZNF182, ZNF180, PASD1, ELP3, ZIC4, MEIS3, EPOP, POU4F1, VAX2, TBX3, ZNF765-ZNF761, KLF8, ZNF74, ZNF615, ZNF614, ZNF613, ZNF578, ZNF577, ZNF354A, ZNF852, TAF4, ZNF850, ZNF354C, ZNF454, ZNF695, ZFP28, ZNF354B",1416,1681,18585,1.421029149,0.003207314,9.86E-04,9.85E-04,
Biological Process,6355,"regulation of transcription, DNA-templated",117,6.167633105,8.62E-07,"RB1, ZNF331, ZNF175, PRDM9, SOX21, UBE2L3, PPP2R1A, ZNF727, ZNF606, ZNF84, ZNF723, ZNF445, SOX7, ZNF285, ZNF681, ZNF284, ZNF10, ZNF98, EBF4, MYT1, FOXP3, ZNF717, MSL3P1, KAT6A, MORF4L2, ZNF679, ZSCAN26, ZNF711, ZNF677, UBE2V1, ZNF311, ZNF432, ZNF155, ZNF274, CREBL2, ZNF26, NPAS3, ZNF549, ZKSCAN8, ZNF548, ZNF667, ZKSCAN4, NKX2-5, ZNF268, PPARGC1A, KAT14, ZNF541, ZNF540, ZNF140, ESRRB, POU6F2, MLXIPL, BMP2, ZNF419, ZNF534, RBAK, MNAT1, ZNF773, SLC2A4RG, ZNF772, SETD5, ATF7IP2, HIF3A, ZNF45, AFF3, ZNF670-ZNF695, PQBP1, SCML2, HEY1, ZNF280A, ZNF528, ZNF404, ZNF525, ZIK1, NKX3-1, OLIG1, ZFX, GCFC2, ZNF879, ZNF114, ZNF112, ZNF230, ZNF350, ZNF471, ZNF470, ACVR1B, ZNF69, HIRA, ZNF229, ZNF502, ZNF589, ZNF225, ZNF224, ZNF223, ZNF343, ZNF222, ATF7IP, ZNF221, ZNF583, ZNF582, ZNF184, ZNF180, MEIS3, ZNF765-ZNF761, ZNF74, ZNF615, ZNF614, ZNF613, ZNF578, ZNF577, ZNF354A, ZNF852, ZNF850, ZNF695, ZFP28, ZNF354B, GZF1",1416,976,18585,1.57338627,0.00393598,9.86E-04,9.85E-04,
Molecular Function,8028,monocarboxylic acid transmembrane transporter activity,10,0.527148129,3.16E-06,"SLC16A1, SLC16A6, SLC6A13, SLC16A11, SLC6A12, SLC6A11, SLC16A10, SLC16A4, SLC16A14, SLC16A13",1449,18,18178,6.969557549,0.004681914,0.001565354,0.001562194,
Biological Process,7416,synapse assembly,19,1.001581444,6.44E-06,"ACHE, CLSTN3, PCDHB14, PCDHB13, PCDHB11, ZDHHC2, POU4F1, IGFN1, ADD2, PCDHB2, PCDHB16, PCDHB6, RAB29, PCDHB5, PCDHB4, PCDHB3, MAPT, SDK2, ADGRL3",1416,73,18585,3.41609589,0.029026451,0.005889904,0.005884756,
Cellular Component,5887,integral component of plasma membrane,155,8.170795994,7.34E-06,"NPFFR2, SCARB1, TUSC3, RXFP4, SLC4A3, ZDHHC2, SLC8A2, TM7SF2, TMEM266, HTR6, LAMP1, BSG, SLC16A6, SLC16A4, SEMA6B, KCNH2, SEMA6C, CHRNB1, KCNH3, SLC15A1, EPHA7, KIRREL2, KCNH5, SLC30A3, SCARA5, MUSK, EPHA8, SLC6A13, HLA-C, SLC6A12, SLC6A11, PCDHA11, CACNB2, BCAM, FOLH1, CD8A, RHCG, RHCE, CHRNA7, PSEN2, PCDH15, IL20RB, SLC26A10P, SLC1A6, FUT1, MCHR2, LRRC52, ADGRG3, EFNB3, TSPAN9, HRH2, CD19, TSPAN4, PCDHA4, PCDHA3, SLC38A3, SLC19A1, ASIC1, PCDHA6, MSR1, TRPV3, SLC16A11, SLC16A10, GRIN2B, SLC16A14, SLC16A13, SLC6A6, SLC6A8, PCDHB2, PRPH2, PTPRA, SLCO1A2, PCDHB6, PCDHB5, PCDHB4, CHRFAM7A, KLRD1, PCDHB3, GABRB3, LMBR1L, TENM2, FLT4, PCDHGB3, PCDHGB2, PTPRO, HTR2C, GRIK4, ADRA1D, GPRC6A, GABRR1, ATP7B, GRM7, GPER1, PCDHGA7, PCDHGA6, TMEM150A, PCDHGA5, PCDHGA4, GNRHR2, PCDHGA3, TRPC4, PCDHGA2, ATRN, PCDHGB1, TMBIM6, SLC29A1, CX3CR1, RAMP2, LTK, GUCY2D, SEMA3D, KCNA1, SLC43A1, MOSPD2, SEMA3G, OPRL1, ATP1A4, SLC3A1, ADCY2, KCNA5, ADCY1, KCNA6, ACVR1B, ADCY8, DLL1, SLC7A2, GLRA3, PRRG2, ADAM23, PDPN, TAS1R1, RHBG, CORIN, SLC35A1, GABBR1, SLC12A5, SLC16A1, SLC31A2, IL10RA, ECEL1, PCDH8, GABRA3, KCNJ15, PCDHB14, PCDHB13, PCDHB12, PCDHB11, ADGRD1, CD4, P2RX5, CLCN4, PCDHB16, TEK, F2RL3, ADGRL3",1515,1418,19595,1.413800407,0.005799359,0.00581622,0.005750126,
Molecular Function,981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",143,7.538218239,8.17E-06,"ZNF331, ZNF175, PRDM4, ZNF292, RORC, SOX21, TPRXL, DACH1, ZSCAN31, SALL2, ZNF727, CREB3L1, ZNF605, ZNF84, ZNF723, FOXO3B, SOX7, HES7, ZNF165, NKX2-8, ZNF285, ZNF681, ZNF284, TSTD1, ZNF10, ZNF98, EBF4, MYT1, FOXP3, POU3F3, POU3F4, ZNF679, ZSCAN23, ZSCAN26, ZNF711, ZNF677, ZNF311, ZNF157, ZNF432, ZNF155, ZNF274, ZNF391, CREBL2, FOXO3, HOXB13, NPAS1, ZNF26, NPAS3, PGBD1, ZNF549, ZKSCAN8, ZNF548, ZSCAN12, ZKSCAN4, NKX2-5, ZSCAN16, ZNF540, EGR3, ZNF140, ESRRB, POU6F2, RAX2, MLXIPL, ZNF419, LHX1, LHX6, MKX, ZNF534, RBAK, ZNF773, ZNF772, CSRNP3, HIF3A, ZNF45, DMBX1, DBP, HEY1, ZNF280A, SIX5, ZNF528, SIX2, SIX3, ZIC1, ZNF404, ZNF525, CIC, ZIK1, NKX3-1, ZSCAN5A, ZHX3, TCF15, PEG3, HSFX1, FOXL2, OLIG1, KLF15, PAX1, ZNF879, ZNF114, FOXD4L1, ZNF232, ZNF230, ZNF471, ZNF470, SATB2, ZNF518B, FOXK1, ZNF69, DDN, GBX1, ZNF502, ZNF589, HDX, RXRG, ZNF223, ZNF343, ZNF222, ZNF221, ZNF583, ZNF582, ZNF184, ZNF580, ZNF182, ZNF180, ZIC4, MEIS3, POU4F1, VAX2, TBX3, ZNF765-ZNF761, KLF8, ZNF74, ZNF614, ZNF578, ZNF577, ZNF354A, ZNF852, ZNF354C, ZNF454, ZNF695, ZFP28, ZNF354B, GZF1",1449,1252,18178,1.432878685,0.012056073,0.003034364,0.003028238,
