Category,Code,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
KEGG_PATHWAY,hsa04668,TNF signaling pathway,28,1.87541862,4.70E-09,"CXCL6, TNFAIP3, CXCL1, NOD2, CXCL3, PTGS2, TNF, CXCL2, RELA, RPS6KA4, CCL2, FADD, IKBKG, MAP2K7, JUNB, MAP3K5, EDN1, RIPK3, CHUK, IL15, CCL20, LIF, TNFRSF1B, CYLD, IRF1, FAS, BIRC2, BIRC3",565,114,8428,3.663778916,1.53E-06,1.53E-06,1.40E-06
KEGG_PATHWAY,hsa04621,NOD-like receptor signaling pathway,35,2.344273275,4.35E-08,"CXCL8, TNFAIP3, CXCL1, BRCC3, NOD2, CXCL3, TNF, CXCL2, RELA, MAP1LC3A, CASP4, CASP1, CCL2, FADD, IKBKG, GBP2, IKBKE, GBP4, GBP3, GSDMD, IFNAR2, GBP5, RIPK3, CHUK, CARD6, IL18, MAP1LC3B2, TYK2, TICAM1, STING1, OAS3, IRF7, CARD16, BIRC2, BIRC3",565,184,8428,2.837437476,1.41E-05,7.07E-06,6.46E-06
KEGG_PATHWAY,hsa04064,NF-kappa B signaling pathway,21,1.406563965,1.26E-05,"PIAS4, CXCL8, TNFSF14, CHUK, GADD45A, TNFAIP3, CXCL1, CXCL3, PTGS2, TICAM1, CXCL2, TNF, EDA2R, RELA, CYLD, IRAK1, PLAU, PRKCQ, IKBKG, BIRC2, BIRC3",565,103,8428,3.041292207,0.004084132,0.001364156,0.001246629
KEGG_PATHWAY,hsa05145,Toxoplasmosis,21,1.406563965,2.61E-05,"CIITA, LAMB3, CHUK, IFNGR1, IL10RB, LAMA3, LAMC2, TYK2, TNF, GNAI1, RELA, SOCS1, IRAK1, ALOX5, HLA-DRA, IKBKG, BIRC2, HLA-DQA1, HLA-DRB1, HLA-DPA1, BIRC3",565,108,8428,2.900491642,0.008456438,0.001974547,0.001804432
KEGG_PATHWAY,hsa05167,Kaposi sarcoma-associated herpesvirus infection,30,2.009377093,3.04E-05,"CXCL8, CXCL1, CALML4, CXCL3, PTGS2, FGF2, CXCL2, RELA, C3, MAP1LC3A, GNG5, FADD, IKBKG, MAP2K7, IKBKE, MICB, IFNAR2, CHUK, IFNGR1, MAP1LC3B2, NFATC1, TYK2, GNG12, TICAM1, GNG11, IRF7, FAS, IL6ST, UBA52, TLR3",565,193,8428,2.318675776,0.009824308,0.001974547,0.001804432
KEGG_PATHWAY,hsa05164,Influenza A,27,1.808439384,4.20E-05,"CIITA, CXCL8, TNF, RELA, CASP1, TNFSF10, CCL2, FADD, IKBKG, IKBKE, HLA-DQA1, HLA-DPA1, IFNAR2, CHUK, IFNGR1, IL18, TYK2, TICAM1, RAB11B, IL1A, OAS3, IRF7, FAS, HLA-DRA, SLC25A5, HLA-DRB1, TLR3",565,167,8428,2.411700493,0.01356316,0.002074099,0.001895407
KEGG_PATHWAY,hsa05321,Inflammatory bowel disease,15,1.004688547,4.47E-05,"IL4R, SMAD3, IFNGR1, IL18, NFATC1, NOD2, TNF, RELA, IL1A, HLA-DRA, TLR5, HLA-DQA1, HLA-DRB1, HLA-DPA1, IL12RB2",565,62,8428,3.608906651,0.014414124,0.002074099,0.001895407
KEGG_PATHWAY,hsa05323,Rheumatoid arthritis,18,1.205626256,6.96E-05,"CXCL6, FLT1, CXCL8, IL15, CCL20, IL18, CXCL1, TCIRG1, CXCL3, CXCL2, TNF, IL1A, CCL2, HLA-DRA, ACP5, HLA-DQA1, HLA-DRB1, HLA-DPA1",565,89,8428,3.016883763,0.022359459,0.002826554,0.002583036
KEGG_PATHWAY,hsa04060,Cytokine-cytokine receptor interaction,37,2.478231748,2.83E-04,"CXCL6, CXCL8, AMHR2, CXCL1, TNFRSF11B, IL1RAP, CXCL3, CXCL14, TNF, CXCL2, EDA2R, TNFSF10, CCL2, IL12RB2, TNFSF18, IFNAR2, CCL24, IL4R, TNFSF14, IFNGR1, IL10RB, IL15, CCL20, LIF, IL18, BMP8B, OSMR, TNFRSF1B, BMP6, IL22RA1, IL1A, IFNE, FAS, TNFRSF25, RELL1, IL6ST, IL17C",565,294,8428,1.877286136,0.087985581,0.010231826,0.009350314
KEGG_PATHWAY,hsa05200,Pathways in cancer,57,3.817816477,3.16E-04,"ALK, CXCL8, PTEN, LAMC2, FZD10, CALML4, FGF2, GLI2, EDNRB, RASSF5, PIM1, IKBKG, IFNAR2, EDN1, IL4R, CHUK, IFNGR1, IL15, DAPK1, GSTO1, MSH6, CCNA1, COL4A2, PAX8, CCNE2, COL4A1, IL6ST, BIRC2, BIRC3, PTGER2, LAMA3, ADCY3, LPAR3, PLD1, PTGS2, EGFR, GNAI1, RELA, GNA13, GNG5, PMAIP1, FADD, IL12RB2, FZD1, CDKN2B, GSTM1, EGLN2, SMAD3, LAMB3, FZD4, GADD45A, FZD7, GNG12, GNG11, ESR2, KITLG, FAS",565,527,8428,1.613393562,0.097547039,0.010262251,0.009378118
