Category,Pathway,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
KEGG_PATHWAY,hsa05168,Herpes simplex virus 1 infection,79,4.164470216,1.73E-09,"ZNF331, ZNF175, CGAS, ZNF45, ZNF727, ZNF606, ZNF605, ZNF528, ZNF84, ZNF525, ZNF404, MAP3K7, ZIK1, ZNF200, ZNF285, ZNF681, ZNF284, ZNF10, HLA-C, ZNF98, ZNF717, ZNF879, ZNF679, ZNF677, ITGA5, ZNF114, ZNF311, ZNF157, ZNF432, ZNF112, ZNF155, ZNF230, ZNF350, ZNF471, ZNF470, SRC, ZNF26, NXF2, NXF3, ZNF549, EIF4EBP1, ZNF229, ZNF548, ZNF667, ZNF589, ZNF225, ZNF268, ZNF224, ZNF223, ZNF343, ZNF222, ZNF540, ZNF221, ZNF583, ZNF582, ZNF140, ZNF184, ZNF182, ZNF180, ZNF765-ZNF761, MAVS, ZNF419, ZNF74, ZNF615, ZNF614, ZNF613, ZNF534, ZNF578, ZNF577, ZNF354A, RBAK, ZNF773, NECTIN2, ZNF454, ZNF850, ZNF354C, ZFP28, ZNF772, ZNF354B",658,504,8428,2.007683215,5.77E-07,5.77E-07,5.39E-07
KEGG_PATHWAY,hsa04922,Glucagon signaling pathway,22,1.159725883,5.54E-05,"PRKAB2, PDHA1, PRMT1, PGAM2, PDE3B, ITPR1, ADCY2, PDHB, PYGL, CPT1C, PHKA2, LDHC, LOC102724428, GYS1, PPP3CA, PLCB4, CREB3L1, GNAS, CALM3, PPARGC1A, PLCB2, PFKM",658,106,8428,2.658370132,0.018284085,0.008065326,0.007532482
KEGG_PATHWAY,hsa04261,Adrenergic signaling in cardiomyocytes,27,1.423299947,1.05E-04,"POPDC3, ATP1A4, ATP2A3, CACNA1D, ADRA1D, ADCY2, ADCY1, CACNA1F, ADCY8, SLC8A2, CACNG6, CACNG8, PPP2R1A, CREB3L1, TNNI3, BVES, CACNA2D3, CACNA2D2, ATP1B2, MAPK12, CACNB2, PLCB4, PPP2R2C, KCNQ1, GNAS, CALM3, PLCB2",658,152,8428,2.275195969,0.034488418,0.008065326,0.007532482
KEGG_PATHWAY,hsa04727,GABAergic synapse,19,1.001581444,1.21E-04,"GABRB3, GABBR1, SLC12A5, PRKCB, SRC, GABRA3, CACNA1B, SLC6A13, SLC6A12, CACNA1D, SLC6A11, ADCY2, ADCY1, CACNA1F, ADCY8, GABRR1, GNG2, GNB3, SLC38A3",658,88,8428,2.765473888,0.039550016,0.008065326,0.007532482
KEGG_PATHWAY,hsa04750,Inflammatory mediator regulation of TRP channels,20,1.054296257,1.45E-04,"PLA2G4F, PRKCB, SRC, ITPR1, TRPV3, HTR2C, ADCY2, ADCY1, IGF1, ADCY8, MAPK12, MAPK9, MAPK8, PLCB4, GNAS, CALM3, PLCG1, PLCB2, MAP2K6, ASIC1",658,97,8428,2.640930029,0.047238365,0.008065326,0.007532482
KEGG_PATHWAY,hsa04724,Glutamatergic synapse,22,1.159725883,1.45E-04,"PLA2G4F, PRKCB, HOMER2, ITPR1, GRIK4, CACNA1D, ADCY2, ADCY1, SLC1A6, ADCY8, GRIN2B, PPP3CA, GRK3, PLCB4, GNG2, GRM7, DLG4, GNAS, GNB3, SLC17A7, SLC38A3, PLCB2",658,113,8428,2.493692337,0.047243077,0.008065326,0.007532482
KEGG_PATHWAY,hsa04912,GnRH signaling pathway,19,1.001581444,1.90E-04,"PLA2G4F, PRKCB, SRC, LHB, ITPR1, CACNA1D, ADCY2, ADCY1, CACNA1F, ADCY8, MAPK12, MAPK9, MAPK8, PLCB4, GNRH2, GNAS, CALM3, PLCB2, MAP2K6",658,91,8428,2.674304419,0.061225609,0.009024872,0.008428634
KEGG_PATHWAY,hsa04260,Cardiac muscle contraction,17,0.896151819,4.99E-04,"COX8C, ATP1A4, ATP2A3, CACNA2D3, CACNA2D2, CACNA1D, ATP1B2, CACNA1F, COX7B2, COX6A2, TRDN, SLC8A2, CACNG6, CACNB2, CACNG8, UQCRFS1, TNNI3",658,82,8428,2.655422937,0.153210782,0.018481796,0.017260776
KEGG_PATHWAY,hsa04020,Calcium signaling pathway,36,1.897733263,5.03E-04,"PDE1C, PDE1B, FLT4, CHRNA7, CACNA1B, ATP2A3, ITPR1, HTR2C, CACNA1D, ADRA1D, ADCY2, ADCY1, CACNA1F, ADCY8, SLC8A2, CACNA1I, PPP3CA, HTR6, HRH2, PLCG1, PRKCB, MST1, VEGFC, PHKA2, GRIN2B, TRDN, FGF17, P2RX5, PLCB4, GNAL, FGF19, ORAI3, ITPKA, GNAS, CALM3, PLCB2",658,251,8428,1.837077223,0.15437219,0.018481796,0.017260776
KEGG_PATHWAY,hsa01100,Metabolic pathways,152,8.012651555,5.55E-04,"PNMT, AHCYL2, GALNT13, PRDM9, ACSM3, CHPF, DGKB, DGKA, MPI, XYLT1, SAT2, COX6A2, CNDP2, TM7SF2, ENPP2, DHRS4L2, MCCC2, ACOT8, ATP6V1G2, ST6GAL2, SDS, ENTPD3, KMT5C, DHDH, PIPOX, MAT1A, KMO, GCAT, GBGT1, SULT2B1, FOLH1, SMS, PDE1C, RPN2, MAOA, PDE1B, SHMT1, GSTT2, FUT2, PLA2G7, FUT1, GNS, ACAT1, AK9, LDHC, UAP1L1, B4GALNT1, PLCG1, SMYD3, GSTM3, PDHA1, TGDS, GFPT2, GOT2, MTHFR, ADA2, ACADSB, COX7B2, ALOX15B, UCKL1, BHMT, CPS1, PRXL2B, PAH, ACO1, ADA, ITPA, ACADVL, PIGU, PIGT, DPYS, MTMR14, PDE3B, POMT1, PYGL, KHK, GYS1, B3GALT1, CYP2R1, HYAL3, IDH3B, ME1, UQCRFS1, HMGCS2, UPP1, GALNT8, COX8C, PLA2G4F, ELOVL4, BHMT2, BCKDHB, PGAM2, ELOVL3, AMPD3, POMGNT2, PLCB4, CYP21A2, B3GNT4, ITPKA, ALDOC, C1GALT1C1L, B4GALT7, PLCB2, BLVRA, ATP6V1B1, BCAT2, DDC, ACSS3, GALT, GUCY2D, ODC1, TYRP1, NDUFA4L2, ADCY2, ALOX12B, NPL, PDHB, ADCY1, ADCY8, SELENBP1, NFS1, PDE11A, EXTL1, PDE6B, MGAT1, ACSS1, ATP6V0E2, AOC1, CKM, PLA2G2C, SMOX, MMAB, GLYCTK, NDUFA3, GSS, B3GAT2, PEDS1, SGPP1, RPIA, FIG4, ALDH4A1, GATM, GNPDA1, GSTA4, GLB1, NT5C1A, MGAT4B, PNPLA3, SARDH, NAGS, CDO1, PFKM",658,1524,8428,1.27748925,0.168787055,0.018481796,0.017260776
