"","ENSEMBL","ENTREZID","SYMBOL","TXCHROM"
"1","ENSG00000000003","7105","TSPAN6","chrX"
"2","ENSG00000000005","64102","TNMD","chrX"
"3","ENSG00000000419","8813","DPM1","chr20"
"4","ENSG00000000457","57147","SCYL3","chr1"
"5","ENSG00000000460","55732","C1orf112","chr1"
"6","ENSG00000000938","2268","FGR","chr1"
"7","ENSG00000000971","3075","CFH","chr1"
"8","ENSG00000001036","2519","FUCA2","chr6"
"9","ENSG00000001084","2729","GCLC","chr6"
"10","ENSG00000001167","4800","NFYA","chr6"
"11","ENSG00000001460","90529","STPG1","chr1"
"12","ENSG00000001461","57185","NIPAL3","chr1"
"13","ENSG00000001497","81887","LAS1L","chrX"
"14","ENSG00000001561","22875","ENPP4","chr6"
"15","ENSG00000001617","6405","SEMA3F","chr3"
"16","ENSG00000001626","1080","CFTR","chr7"
"17","ENSG00000001629","54467","ANKIB1","chr7"
"18","ENSG00000001630","1595","CYP51A1","chr7"
"19","ENSG00000001631","889","KRIT1","chr7"
"20","ENSG00000002016","5893","RAD52","chr12"
"21","ENSG00000002079","84176","MYH16","chr7"
"22","ENSG00000002330","572","BAD","chr11"
"23","ENSG00000002549","51056","LAP3","chr4"
"24","ENSG00000002586","4267","CD99","chrX"
"26","ENSG00000002587","9957","HS3ST1","chr4"
"27","ENSG00000002726","26","AOC1","chr7"
"28","ENSG00000002745","51384","WNT16","chr7"
"29","ENSG00000002746","23072","HECW1","chr7"
"30","ENSG00000002822","8379","MAD1L1","chr7"
"31","ENSG00000002834","3927","LASP1","chr17"
"32","ENSG00000002919","29916","SNX11","chr17"
"33","ENSG00000002933","55365","TMEM176A","chr7"
"34","ENSG00000003056","4074","M6PR","chr12"
"35","ENSG00000003096","90293","KLHL13","chrX"
"36","ENSG00000003137","56603","CYP26B1","chr2"
"37","ENSG00000003147","3382","ICA1","chr7"
"38","ENSG00000003249","79007","DBNDD1","chr16"
"39","ENSG00000003393","57679","ALS2","chr2"
"40","ENSG00000003400","843","CASP10","chr2"
"41","ENSG00000003402","8837","CFLAR","chr2"
"42","ENSG00000003436","7035","TFPI","chr2"
"43","ENSG00000003509","55471","NDUFAF7","chr2"
"44","ENSG00000003756","10181","RBM5","chr3"
"45","ENSG00000003987","9108","MTMR7","chr8"
"46","ENSG00000003989","6542","SLC7A2","chr8"
"47","ENSG00000004059","381","ARF5","chr7"
"48","ENSG00000004139","23098","SARM1","chr17"
"49","ENSG00000004142","26073","POLDIP2","chr17"
"50","ENSG00000004399","23129","PLXND1","chr3"
"51","ENSG00000004455","204","AK2","chr1"
"52","ENSG00000004468","952","CD38","chr4"
"53","ENSG00000004478","2288","FKBP4","chr12"
"54","ENSG00000004487","23028","KDM1A","chr1"
"55","ENSG00000004534","10180","RBM6","chr3"
"56","ENSG00000004660","84254","CAMKK1","chr17"
"57","ENSG00000004700","5965","RECQL","chr12"
"58","ENSG00000004766","55610","VPS50","chr7"
"59","ENSG00000004776","126393","HSPB6","chr19"
"60","ENSG00000004777","115703","ARHGAP33","chr19"
"61","ENSG00000004779","4706","NDUFAB1","chr16"
"62","ENSG00000004799","5166","PDK4","chr7"
"63","ENSG00000004809","85413","SLC22A16","chr6"
"64","ENSG00000004838","51364","ZMYND10","chr3"
"65","ENSG00000004846","340273","ABCB5","chr7"
"66","ENSG00000004848","170302","ARX","chrX"
"67","ENSG00000004864","10165","SLC25A13","chr7"
"68","ENSG00000004866","7982","ST7","chr7"
"70","ENSG00000004897","996","CDC27","chr17"
"71","ENSG00000004939","6521","SLC4A1","chr17"
"72","ENSG00000004948","799","CALCR","chr7"
"73","ENSG00000004961","3052","HCCS","chrX"
"74","ENSG00000004975","1856","DVL2","chr17"
"75","ENSG00000005001","64063","PRSS22","chr16"
"76","ENSG00000005007","5976","UPF1","chr19"
"77","ENSG00000005020","8935","SKAP2","chr7"
"78","ENSG00000005022","292","SLC25A5","chrX"
"79","ENSG00000005059","55013","MCUB","chr4"
"80","ENSG00000005073","3207","HOXA11","chr7"
"81","ENSG00000005075","5439","POLR2J","chr7"
"82","ENSG00000005100","56919","DHX33","chr17"
"83","ENSG00000005102","4222","MEOX1","chr17"
"84","ENSG00000005108","221981","THSD7A","chr7"
"85","ENSG00000005156","3980","LIG3","chr17"
"86","ENSG00000005175","79657","RPAP3","chr12"
"87","ENSG00000005187","6296","ACSM3","chr16"
"88","ENSG00000005189","81691","REXO5","chr16"
"89","ENSG00000005194","57019","CIAPIN1","chr16"
"90","ENSG00000005206","56928","SPPL2B","chr19"
"91","ENSG00000005238","80256","ATOSB","chr9"
"92","ENSG00000005243","51226","COPZ2","chr17"
"93","ENSG00000005249","5577","PRKAR2B","chr7"
"94","ENSG00000005302","10943","MSL3","chrX"
"95","ENSG00000005339","1387","CREBBP","chr16"
"96","ENSG00000005379","9256","TSPOAP1","chr17"
"97","ENSG00000005381","4353","MPO","chr17"
"98","ENSG00000005421","5444","PON1","chr7"
"99","ENSG00000005436","6936","GCFC2","chr2"
"100","ENSG00000005448","84058","WDR54","chr2"
"101","ENSG00000005469","54677","CROT","chr7"
"102","ENSG00000005471","5244","ABCB4","chr7"
"103","ENSG00000005483","55904","KMT2E","chr7"
